time_s,vbus_raw,ibus_delta_raw,iq_actual_raw,id_actual_raw,iq_ref_raw,speed_raw,speed_rpm_est,target_speed_raw,target_speed_rpm_est,ramp_speed_raw,ramp_speed_rpm_est,tmos_raw,fault_state,mc_state,key_state,ctrl_mode,actual_angle_raw,target_angle_raw,angle_error_raw,actual_angle_deg,target_angle_deg,angle_error_deg,iq_abs_peak_raw
0.000066,2940,-8211,5279,-12,,,,,,,,,,,,,,,,,,,
0.396708,3951,0,6,11,,,,,,,,,,,,,,,,,,,
0.396913,3951,0,6,11,0,0,0.0,,,,,0,3,8,,,,,,,,,
0.396944,3951,0,6,11,0,0,0.0,,,,,0,3,8,,,9178,0,-32768,50.416259765625,0.0,-180.0,15
0.396971,3951,0,6,11,0,0,0.0,0,0.0,0,0.0,0,3,8,4,1,9178,0,-32768,50.416259765625,0.0,-180.0,15
0.396994,3953,0,9,3,0,0,0.0,0,0.0,0,0.0,0,3,8,4,1,9178,0,-32768,50.416259765625,0.0,-180.0,15
0.397014,3953,0,9,3,0,0,0.0,0,0.0,0,0.0,0,3,8,4,1,9178,0,-32768,50.416259765625,0.0,-180.0,15
0.397033,3953,0,9,3,0,0,0.0,0,0.0,0,0.0,0,3,8,4,1,9177,0,-32768,50.4107666015625,0.0,-180.0,9
0.397051,3953,0,9,3,0,0,0.0,0,0.0,0,0.0,0,3,8,4,1,9177,0,-32768,50.4107666015625,0.0,-180.0,9
0.397069,3952,0,0,4,0,0,0.0,0,0.0,0,0.0,0,3,8,4,1,9177,0,-32768,50.4107666015625,0.0,-180.0,9
0.397088,3952,0,0,4,0,0,0.0,0,0.0,0,0.0,0,3,8,4,1,9177,0,-32768,50.4107666015625,0.0,-180.0,9
0.397106,3952,0,0,4,0,0,0.0,0,0.0,0,0.0,0,3,8,4,1,9177,0,-32768,50.4107666015625,0.0,-180.0,9
0.397123,3952,0,0,4,0,0,0.0,0,0.0,0,0.0,0,3,8,4,1,9177,0,-32768,50.4107666015625,0.0,-180.0,9
0.397140,3952,0,9,3,0,0,0.0,0,0.0,0,0.0,0,3,8,4,1,9177,0,-32768,50.4107666015625,0.0,-180.0,9
0.397157,3952,0,9,3,0,0,0.0,0,0.0,0,0.0,0,3,8,4,1,9177,0,-32768,50.4107666015625,0.0,-180.0,9
0.397174,3952,0,9,3,0,0,0.0,0,0.0,0,0.0,0,3,8,4,1,9178,0,-32768,50.416259765625,0.0,-180.0,9
0.397190,3952,0,9,3,0,0,0.0,0,0.0,0,0.0,0,3,8,4,1,9178,0,-32768,50.416259765625,0.0,-180.0,9
0.397207,3952,0,2,-4,0,0,0.0,0,0.0,0,0.0,0,3,8,4,1,9178,0,-32768,50.416259765625,0.0,-180.0,9
0.397226,3952,0,2,-4,0,0,0.0,0,0.0,0,0.0,0,3,8,4,1,9178,0,-32768,50.416259765625,0.0,-180.0,9
0.397243,3952,0,2,-4,0,0,0.0,0,0.0,0,0.0,0,3,8,4,1,9180,0,-32768,50.42724609375,0.0,-180.0,25
0.397259,3952,0,2,-4,0,0,0.0,0,0.0,0,0.0,0,3,8,4,1,9180,0,-32768,50.42724609375,0.0,-180.0,25
0.397287,3952,0,0,4,0,0,0.0,0,0.0,0,0.0,0,3,8,4,1,9180,0,-32768,50.42724609375,0.0,-180.0,25
0.397303,3952,0,0,4,0,0,0.0,0,0.0,0,0.0,0,3,8,4,1,9180,0,-32768,50.42724609375,0.0,-180.0,25
0.397318,3952,0,0,4,0,0,0.0,0,0.0,0,0.0,0,3,8,4,1,9179,0,-32768,50.4217529296875,0.0,-180.0,15
0.397334,3952,0,0,4,0,0,0.0,0,0.0,0,0.0,0,3,8,4,1,9179,0,-32768,50.4217529296875,0.0,-180.0,15
